city,date,fare,ride_id
Raymondhaven,1/6/2019,21.19,9473620000000.00
Rogerston,1/3/2019,36.28,7090350000000.00
Port David,4/2/2019,41.14,2694440000000.00
North Markport,2/8/2019,34.69,2742190000000.00
West Angela,3/4/2019,20.72,1784730000000.00
South Michelleport,4/21/2019,21.98,5893810000000.00
Port Frank,2/10/2019,40.82,6386240000000.00
Rogerston,2/14/2019,19.42,8770690000000.00
Joneschester,4/2/2019,10.52,4970370000000.00
South Karenland,3/17/2019,23.26,556551000000.00
West Angela,5/5/2019,23.66,9188270000000.00
Royland,2/10/2019,11.24,4949540000000.00
Christopherfurt,1/30/2019,6.32,4289780000000.00
Barajasview,4/9/2019,39.36,1801610000000.00
Christopherfurt,2/8/2019,25.76,951781000000.00
Leahton,1/13/2019,9.37,4669660000000.00
Port Angela,4/15/2019,20.16,6490090000000.00
Loganberg,1/13/2019,41.86,7045610000000.00
West Heidi,2/24/2019,40.8,4274250000000.00
Robertport,2/24/2019,8.48,2892770000000.00
Karenside,3/14/2019,16.31,8818350000000.00
West Christopherberg,3/20/2019,42.83,6898410000000.00
West Gabriel,1/15/2019,13.38,7560920000000.00
Simpsonburgh,4/1/2019,25.65,2869640000000.00
West Robert,5/4/2019,5.36,9799480000000.00
Loganberg,2/17/2019,44.47,3541070000000.00
West Anthony,4/20/2019,11.85,4274670000000.00
Jerryton,5/1/2019,4.97,8096400000000.00
North Jasmine,3/4/2019,42.58,8864580000000.00
North Madeline,1/26/2019,5.59,3676440000000.00
Royland,3/25/2019,7.09,5660300000000.00
New Paulton,1/21/2019,18.3,3721170000000.00
Richardfort,2/8/2019,16.55,2270460000000.00
Barajasview,2/3/2019,39.39,9438000000000.00
Pattyland,4/18/2019,28.66,2342400000000.00
West Christopherberg,2/17/2019,4.4,4353110000000.00
Grahamburgh,2/25/2019,14.51,6157110000000.00
New Kimberlyborough,4/11/2019,12.01,135529000000.00
North Madeline,5/2/2019,11.94,7526660000000.00
Simpsonburgh,4/12/2019,22.45,7811390000000.00
Martinezhaven,2/16/2019,15.33,9810610000000.00
West Heidi,3/30/2019,11.15,2264870000000.00
Christopherfurt,4/12/2019,22.91,5928120000000.00
Karenside,4/28/2019,39.41,4711190000000.00
Rogerston,4/1/2019,28.54,9963100000000.00
West Samuelburgh,2/19/2019,17.77,7608980000000.00
Joneschester,3/17/2019,15.35,2307170000000.00
West Heidi,2/27/2019,35.19,6998270000000.00
West Heidi,3/2/2019,23.55,6478070000000.00
Roberthaven,3/30/2019,16.2,2949490000000.00
Karenberg,4/7/2019,16.11,4806090000000.00
Port Angela,3/8/2019,23.06,2750740000000.00
Hurleymouth,2/7/2019,36.7,174818000000.00
Simpsonburgh,3/31/2019,24.16,9709760000000.00
South Jack,3/14/2019,18.66,3511600000000.00
New Jacobville,3/10/2019,10.63,650454000000.00
Williamsstad,4/16/2019,32.43,7177820000000.00
Port Johnbury,3/27/2019,38.99,4115680000000.00
North Jasmine,2/17/2019,35.11,6620980000000.00
South Jack,1/3/2019,4.95,9005600000000.00
Pattyland,4/23/2019,13.01,9345290000000.00
Raymondhaven,2/16/2019,24.31,8960620000000.00
Joneschester,4/24/2019,9.78,967059000000.00
North Jason,2/19/2019,15.87,7791830000000.00
Williamsstad,2/22/2019,20.56,5813760000000.00
West Christopherberg,2/19/2019,40.98,752484000000.00
South Karenland,3/19/2019,23.07,5759340000000.00
Rodneyfort,3/7/2019,7.78,2859630000000.00
Lake Scottton,2/5/2019,24.54,3770260000000.00
Royland,1/26/2019,14.68,1747290000000.00
Martinezhaven,1/21/2019,42.75,9056090000000.00
West Patrickchester,3/17/2019,17.38,3066490000000.00
Raymondhaven,3/31/2019,36.29,8959240000000.00
West Robert,3/6/2019,22.86,2318920000000.00
South Evanton,2/25/2019,15.06,8873330000000.00
West Christopherberg,3/7/2019,32.27,2176000000000.00
West Josephberg,4/19/2019,42.53,6114370000000.00
Liumouth,3/6/2019,23.53,2430170000000.00
West Christopherberg,2/10/2019,8.42,836259000000.00
Hurleymouth,2/23/2019,18.15,6051430000000.00
Port Angela,2/26/2019,28.52,6783570000000.00
West Samuelburgh,1/31/2019,14.11,6038400000000.00
North Barbara,4/6/2019,26.64,929433000000.00
Rodneyfort,4/29/2019,44.28,6979260000000.00
North Jason,4/5/2019,31.89,9988470000000.00
Port David,2/11/2019,10.05,6921950000000.00
Raymondhaven,1/27/2019,41.76,7325940000000.00
Barajasview,3/12/2019,37.05,1829230000000.00
Liumouth,1/17/2019,33.29,3424320000000.00
North Barbara,3/24/2019,4.05,5344060000000.00
Valentineton,4/3/2019,18.62,555060000000.00
West Samuelburgh,4/17/2019,10.58,2071900000000.00
Carriemouth,1/15/2019,24.13,7417680000000.00
Carriemouth,5/8/2019,21.99,117998000000.00
Erikaland,2/21/2019,12.44,2705090000000.00
Grahamburgh,1/18/2019,23.35,8084540000000.00
East Kaylahaven,1/29/2019,9.81,2058420000000.00
Carriemouth,2/4/2019,24.87,6015600000000.00
Justinberg,4/14/2019,24.34,1492820000000.00
Pattyland,1/1/2019,42.11,9614950000000.00
Royland,4/9/2019,22.89,5157860000000.00
Huntermouth,3/14/2019,30.49,9537560000000.00
Huntermouth,1/17/2019,41.48,7802300000000.00
Huntermouth,2/3/2019,31.43,4782860000000.00
South Evanton,2/21/2019,34.21,5093960000000.00
West Robert,4/12/2019,32.48,7544370000000.00
Raymondhaven,3/2/2019,5.19,4175050000000.00
Port Frank,4/2/2019,13.55,4849710000000.00
West Heidi,3/18/2019,4.29,4315020000000.00
Amandaburgh,4/1/2019,24.29,1995460000000.00
Liumouth,2/27/2019,43.31,1510930000000.00
Barajasview,3/15/2019,28.3,1314270000000.00
New Kimberlyborough,3/19/2019,27.37,533038000000.00
West Samuelburgh,1/6/2019,43.05,9810770000000.00
Lake Scottton,1/28/2019,23.95,9483400000000.00
North Jason,1/14/2019,26.58,8642390000000.00
East Kaylahaven,3/23/2019,4.64,1908040000000.00
Johnton,3/15/2019,43.5,7134200000000.00
Roberthaven,2/22/2019,27.48,9420000000000.00
Robertport,1/25/2019,44.75,6711340000000.00
Joneschester,2/16/2019,9.48,4155290000000.00
Johnton,5/2/2019,32.38,8954820000000.00
West Anthony,2/19/2019,27.9,4267520000000.00
Martinezhaven,3/11/2019,7.01,7636750000000.00
Port Johnbury,3/30/2019,15.17,4900590000000.00
Williamsview,4/7/2019,19.19,8047770000000.00
West Robert,2/23/2019,33.24,3055030000000.00
Barajasview,3/19/2019,26.6,5623060000000.00
Williamsstad,5/6/2019,40.79,8720870000000.00
Justinberg,1/22/2019,38.3,1287830000000.00
Justinberg,4/16/2019,16.58,1476440000000.00
Carriemouth,2/17/2019,22.66,3717940000000.00
South Evanton,4/10/2019,30.36,5254900000000.00
Simpsonburgh,2/14/2019,30,7644620000000.00
New Kimberlyborough,1/7/2019,15.22,7020070000000.00
Richardfort,4/3/2019,40.77,9496210000000.00
Williamsview,1/5/2019,21.59,6180220000000.00
Carriemouth,1/4/2019,31.99,4872540000000.00
West Christopherberg,4/6/2019,25.31,3275950000000.00
New Jacobville,4/10/2019,42.92,4021020000000.00
Karenberg,4/23/2019,26.92,9685100000000.00
Johnton,2/28/2019,12.02,6670300000000.00
Amandaburgh,4/20/2019,16.27,3513120000000.00
Port Frank,4/25/2019,19.43,7792160000000.00
Martinezhaven,2/3/2019,11.61,3416650000000.00
Joneschester,3/9/2019,39.32,1553160000000.00
West Robert,4/7/2019,40.69,502551000000.00
West Heidi,2/6/2019,40.55,6257940000000.00
Lake Jonathanshire,1/24/2019,34.65,3319120000000.00
Johnton,1/22/2019,24.17,7413360000000.00
South Karenland,1/31/2019,36.28,9219990000000.00
Liumouth,1/5/2019,27.02,3773620000000.00
Port Angela,2/8/2019,15.58,7388730000000.00
Johnton,2/26/2019,18.76,6360820000000.00
Pattyland,2/5/2019,28.81,115407000000.00
Deanville,4/26/2019,28.44,3326160000000.00
West Anthony,3/3/2019,20.71,7550330000000.00
South Phillip,2/28/2019,42.2,9813560000000.00
North Jason,1/5/2019,16.22,3842420000000.00
Loganberg,1/31/2019,13.69,4066010000000.00
Port Frank,1/27/2019,38.97,5944400000000.00
South Evanton,3/6/2019,44.41,2760300000000.00
West Angela,1/22/2019,32.18,4244820000000.00
Rodneyfort,4/12/2019,27.81,5669400000000.00
Carriemouth,4/28/2019,37.35,4812350000000.00
Hurleymouth,2/28/2019,44.85,5104280000000.00
Lake Danielberg,3/20/2019,33.9,25082058503.00
Lake Jonathanshire,3/24/2019,14.94,1670910000000.00
Williamsview,5/4/2019,32.8,2677730000000.00
West Josephberg,2/19/2019,4.07,1348030000000.00
Christopherfurt,4/6/2019,27.46,7399940000000.00
South Phillip,2/1/2019,39.27,5307990000000.00
New Paulville,2/18/2019,38.97,1733920000000.00
Grahamburgh,3/24/2019,32.17,2400240000000.00
Port Johnbury,2/8/2019,7.63,3497570000000.00
Port David,3/4/2019,23.7,6492200000000.00
West Ericstad,4/13/2019,22.39,5770760000000.00
Karenside,5/3/2019,32.68,9194160000000.00
Valentineton,2/25/2019,10.21,4595890000000.00
Martinezhaven,3/21/2019,39.26,9867640000000.00
Huntermouth,3/21/2019,27.96,3030920000000.00
Rogerston,3/18/2019,8.58,4178980000000.00
West Angela,3/7/2019,14.8,5022470000000.00
Rodneyfort,3/15/2019,30.83,4175050000000.00
North Jasmine,4/24/2019,28.24,8273890000000.00
Raymondhaven,1/25/2019,14.65,3912460000000.00
Richardfort,2/19/2019,27.11,8690320000000.00
West Josephberg,3/16/2019,10.04,6775770000000.00
Erikaland,5/7/2019,22.72,5590430000000.00
Royland,1/15/2019,4.1,9409230000000.00
Roberthaven,3/27/2019,11.51,9185060000000.00
Justinberg,4/16/2019,27.1,1854550000000.00
East Kaylahaven,1/4/2019,24.37,5735200000000.00
North Jason,2/22/2019,18.67,190295000000.00
Karenside,2/12/2019,25.58,6569020000000.00
Raymondhaven,2/28/2019,11.26,3122710000000.00
Amandaburgh,3/13/2019,13.88,6222130000000.00
Amandaburgh,4/22/2019,42.52,1901160000000.00
New Jacobville,4/27/2019,37.6,8780900000000.00
West Ericstad,4/19/2019,5.75,3497130000000.00
Christopherfurt,1/4/2019,15.47,1471160000000.00
Port David,3/27/2019,18.43,4635590000000.00
Martinezhaven,2/15/2019,15.93,9624580000000.00
West Robert,2/27/2019,22.81,5714310000000.00
South Michelleport,3/8/2019,27.42,3754240000000.00
Robertport,5/3/2019,31.62,4852260000000.00
West Anthony,2/4/2019,20.09,4221520000000.00
West Angela,3/20/2019,23.83,8750810000000.00
South Michelleport,5/7/2019,4.47,289109000000.00
New Paulville,5/1/2019,10.3,1057570000000.00
Justinberg,2/19/2019,36.27,7286440000000.00
Leahton,1/8/2019,39.81,457902000000.00
Justinberg,2/1/2019,31.07,2739650000000.00
South Latoya,2/12/2019,28.92,5779830000000.00
Williamsview,2/8/2019,25.3,2324600000000.00
Joneschester,1/15/2019,13.43,2235860000000.00
Williamsstad,1/6/2019,43.5,2047850000000.00
South Karenland,1/25/2019,31.02,500482000000.00
Carriemouth,4/1/2019,27.84,6589830000000.00
Valentineton,1/1/2019,12.31,4757040000000.00
Christopherfurt,3/12/2019,35.57,8286130000000.00
Huntermouth,2/5/2019,28.58,314352000000.00
Deanville,2/17/2019,25.33,2749470000000.00
North Barbara,5/5/2019,26.54,4328280000000.00
West Angela,1/25/2019,41.05,4602410000000.00
Martinezhaven,4/15/2019,35.45,4822610000000.00
West Anthony,1/12/2019,37.66,410252000000.00
West Samuelburgh,4/25/2019,26.44,4338650000000.00
West Josephberg,4/29/2019,28.73,1732530000000.00
Liumouth,4/11/2019,15.55,6828490000000.00
Karenside,4/4/2019,42.27,6771500000000.00
Loganberg,4/4/2019,25.93,186096000000.00
Johnton,1/21/2019,28.59,5597540000000.00
Carriemouth,3/8/2019,34.32,7984920000000.00
South Latoya,1/2/2019,43.72,390122000000.00
South Phillip,3/25/2019,7.04,7931640000000.00
Lake Danielberg,3/21/2019,14.12,8573680000000.00
Jerryton,1/27/2019,5.21,2366540000000.00
Simpsonburgh,4/28/2019,10.07,2994800000000.00
Amandaburgh,2/6/2019,11.93,7550330000000.00
Karenberg,2/14/2019,11.06,4344960000000.00
Jerryton,1/16/2019,22.26,974453000000.00
East Kaylahaven,3/27/2019,25.29,4840740000000.00
Pattyland,2/11/2019,33.21,1325880000000.00
South Michelleport,2/6/2019,25.58,6814780000000.00
Martinezhaven,2/23/2019,15.48,5946820000000.00
Loganberg,1/5/2019,5.92,5327700000000.00
New Paulville,4/13/2019,8.69,592220000000.00
South Evanton,1/10/2019,37.03,4817990000000.00
Port Angela,2/6/2019,24.47,1469820000000.00
West Gabriel,4/21/2019,4.96,2694140000000.00
New Kimberlyborough,3/28/2019,10.91,935422000000.00
West Anthony,4/16/2019,17.47,5706560000000.00
West Gabriel,1/16/2019,25.97,6590480000000.00
Karenside,1/24/2019,9.39,4829060000000.00
Liumouth,1/1/2019,37.91,5673670000000.00
Grahamburgh,4/20/2019,40.06,5161830000000.00
Christopherfurt,5/7/2019,6.39,7608010000000.00
West Gabriel,5/1/2019,27.45,2827460000000.00
West Heidi,1/17/2019,5.78,9107700000000.00
West Angela,1/4/2019,20.33,1920340000000.00
Christopherfurt,3/25/2019,7.19,6892680000000.00
Robertport,3/25/2019,35.29,7875810000000.00
Royland,1/16/2019,4.89,8053340000000.00
Huntermouth,3/19/2019,15.05,1677080000000.00
North Madeline,4/7/2019,11.92,737335000000.00
East Kaylahaven,1/7/2019,5.56,4657640000000.00
Loganberg,4/18/2019,22.51,3208040000000.00
North Jason,1/23/2019,6.54,5614760000000.00
South Latoya,1/31/2019,14.82,6963440000000.00
Karenberg,3/9/2019,35.68,8631750000000.00
West Anthony,5/1/2019,23.76,2929350000000.00
Williamsstad,3/25/2019,42.93,2210000000000.00
Port Angela,2/6/2019,11.39,6108670000000.00
Karenside,2/24/2019,27.64,8058210000000.00
East Kaylahaven,3/21/2019,9.42,1468260000000.00
South Michelleport,3/23/2019,14.72,490532000000.00
Pattyland,1/14/2019,40.21,5825970000000.00
Port Samanthamouth,2/28/2019,38.42,2105090000000.00
Reynoldsfurt,4/11/2019,42.97,1390650000000.00
Pattyland,3/27/2019,8.57,3074550000000.00
North Jasmine,4/24/2019,14.11,4194710000000.00
North Madeline,3/31/2019,21.24,654160000000.00
West Anthony,2/11/2019,15.55,5988410000000.00
Lake Danielberg,1/28/2019,25.98,1418320000000.00
Royland,2/19/2019,13.02,186047000000.00
Reynoldsfurt,3/8/2019,6.08,2567210000000.00
Roberthaven,2/9/2019,11.71,8182770000000.00
South Evanton,2/25/2019,15.94,2734320000000.00
Grahamburgh,3/4/2019,34.93,5941000000000.00
West Ericstad,3/29/2019,40.29,809503000000.00
Port Frank,2/17/2019,32.44,5387350000000.00
Lake Danielberg,2/8/2019,22.74,9524010000000.00
Erikaland,3/24/2019,4.07,6561680000000.00
Port David,2/11/2019,38,7772700000000.00
North Barbara,4/27/2019,16.89,5104120000000.00
Simpsonburgh,2/27/2019,13.38,1577920000000.00
North Jason,1/23/2019,32.77,2988760000000.00
Simpsonburgh,1/6/2019,27.2,3681830000000.00
South Phillip,4/18/2019,35.7,4752370000000.00
South Karenland,3/16/2019,4.87,2387920000000.00
New Paulville,3/14/2019,20.26,8812010000000.00
Johnton,2/14/2019,43.93,5443750000000.00
Port Johnbury,2/27/2019,11.33,3225780000000.00
Joneschester,3/12/2019,21.17,1576520000000.00
West Samuelburgh,2/12/2019,6.76,8530070000000.00
Huntermouth,4/28/2019,31.43,6660480000000.00
Deanville,4/1/2019,22.65,7002780000000.00
Leahton,2/15/2019,25.84,9242700000000.00
Hurleymouth,4/13/2019,40.93,4915210000000.00
West Anthony,3/21/2019,15.64,4746850000000.00
Karenside,1/23/2019,37.62,1952930000000.00
West Gabriel,2/28/2019,31.82,4153070000000.00
Carriemouth,3/26/2019,26.91,7852480000000.00
South Michelleport,3/1/2019,24.55,9789480000000.00
Rodneyfort,5/5/2019,22.24,5393290000000.00
Deanville,3/7/2019,31.08,9711260000000.00
Reynoldsfurt,5/4/2019,8.81,3238110000000.00
Justinberg,4/27/2019,18.99,3034610000000.00
Huntermouth,3/2/2019,10.89,1647270000000.00
West Robert,2/27/2019,8.37,489897000000.00
Port Angela,2/14/2019,42.04,896909000000.00
South Karenland,1/9/2019,44.44,3179950000000.00
Port David,3/24/2019,25.65,2084690000000.00
Liumouth,1/4/2019,9.1,8147680000000.00
Simpsonburgh,1/18/2019,15.36,5195670000000.00
South Evanton,4/14/2019,19.53,8345650000000.00
West Heidi,4/6/2019,25.06,8916010000000.00
Port Frank,1/14/2019,43.27,491473000000.00
East Kaylahaven,2/23/2019,15.94,1602390000000.00
North Madeline,1/28/2019,42.24,583417000000.00
Liumouth,4/14/2019,38.95,14588103145.00
North Madeline,3/6/2019,26.34,1883860000000.00
Williamsview,4/15/2019,44.74,2759400000000.00
North Barbara,3/16/2019,25.06,9745710000000.00
South Evanton,2/7/2019,7.69,9012610000000.00
Williamsstad,4/26/2019,18.92,1606400000000.00
Rodneyfort,1/12/2019,7.05,4239150000000.00
Karenside,4/19/2019,26.45,9293760000000.00
New Paulton,1/13/2019,29.9,4090330000000.00
West Robert,1/17/2019,12.71,8503430000000.00
Jerryton,2/14/2019,24.49,3080440000000.00
Karenberg,1/16/2019,41.26,3357150000000.00
Christopherfurt,5/3/2019,14.43,5644930000000.00
Grahamburgh,3/27/2019,4.63,7324440000000.00
New Kimberlyborough,3/2/2019,6.08,3872920000000.00
North Madeline,3/4/2019,6.19,546550000000.00
North Jason,3/12/2019,5.76,5113430000000.00
Liumouth,3/16/2019,34.2,2541740000000.00
New Jacobville,4/21/2019,13.53,5567940000000.00
Justinberg,4/24/2019,28.76,6493600000000.00
West Anthony,3/13/2019,5.03,1178020000000.00
Raymondhaven,1/13/2019,17.33,2830430000000.00
Royland,3/22/2019,23.31,2833000000000.00
Rogerston,1/30/2019,8.87,5686980000000.00
West Anthony,5/3/2019,21.38,9172650000000.00
Port Frank,4/6/2019,21.02,9714380000000.00
Lake Jonathanshire,4/11/2019,12.81,5999870000000.00
South Phillip,1/17/2019,23.46,2628020000000.00
South Karenland,3/3/2019,22.44,7458610000000.00
Port Samanthamouth,4/18/2019,23.56,8734250000000.00
Huntermouth,1/10/2019,43.01,7580700000000.00
Joneschester,4/22/2019,9.7,8587090000000.00
West Anthony,4/22/2019,19.95,1212050000000.00
North Jasmine,4/11/2019,27.54,5003270000000.00
Reynoldsfurt,3/10/2019,4.1,5690730000000.00
North Markport,2/22/2019,16.46,2798290000000.00
Huntermouth,1/9/2019,15.31,1530050000000.00
Rogerston,3/19/2019,29.88,3979710000000.00
Deanville,3/5/2019,11.16,4737020000000.00
Rodneyfort,1/11/2019,23.21,3433720000000.00
Reynoldsfurt,3/29/2019,31.43,9922310000000.00
West Josephberg,1/14/2019,9.71,4726130000000.00
Huntermouth,3/20/2019,40.55,6750620000000.00
Amandaburgh,4/24/2019,14.55,7836120000000.00
Port Frank,3/5/2019,36.35,9213720000000.00
Martinezhaven,1/10/2019,23.62,5469890000000.00
East Kaylahaven,2/10/2019,6.69,6071840000000.00
Joneschester,3/10/2019,22.72,8705030000000.00
West Angela,5/1/2019,23.23,7769940000000.00
New Paulton,4/24/2019,32.22,2989630000000.00
Roberthaven,3/5/2019,5.43,605362000000.00
Port Frank,3/9/2019,6.5,2109090000000.00
Port Frank,4/4/2019,39.39,7967480000000.00
Hurleymouth,3/7/2019,41.96,1677330000000.00
Leahton,3/6/2019,41.29,3310670000000.00
Johnton,2/7/2019,30.97,6853980000000.00
Lake Scottton,5/3/2019,25.68,771161000000.00
Simpsonburgh,1/31/2019,39.23,3697090000000.00
West Angela,2/21/2019,29.99,4367320000000.00
Williamsview,4/16/2019,20.38,8227750000000.00
West Josephberg,4/12/2019,15.49,5118230000000.00
West Josephberg,2/15/2019,36.7,8334270000000.00
South Karenland,2/19/2019,39.59,9834070000000.00
Barajasview,1/2/2019,36.13,8567190000000.00
East Kaylahaven,1/21/2019,36.89,2411250000000.00
Loganberg,1/12/2019,36.82,1078110000000.00
Richardfort,4/22/2019,39.74,4081390000000.00
Richardfort,1/31/2019,43.92,4066950000000.00
South Michelleport,4/1/2019,28.84,8846090000000.00
Barajasview,1/14/2019,19.81,2376260000000.00
West Heidi,4/18/2019,32.74,1746490000000.00
Leahton,3/31/2019,4.65,2204200000000.00
Port Johnbury,1/7/2019,19.08,8839380000000.00
Justinberg,5/7/2019,18.74,6395650000000.00
North Barbara,4/10/2019,10.94,355505000000.00
Barajasview,5/6/2019,17.63,9233210000000.00
Reynoldsfurt,4/12/2019,21.18,7471390000000.00
West Christopherberg,2/9/2019,33.97,4253880000000.00
Leahton,2/23/2019,7.08,3744450000000.00
Simpsonburgh,3/4/2019,23.33,999763000000.00
Port Frank,4/5/2019,14.21,8366080000000.00
West Heidi,4/17/2019,8.91,7617130000000.00
Robertport,4/24/2019,19.73,7443210000000.00
Loganberg,5/5/2019,30.47,7769260000000.00
West Josephberg,3/23/2019,33.12,2335400000000.00
West Anthony,4/3/2019,31.6,4965330000000.00
South Michelleport,4/22/2019,9.72,2088920000000.00
Amandaburgh,4/5/2019,25.55,8581420000000.00
Justinberg,4/1/2019,40.87,8957670000000.00
Joneschester,3/10/2019,27.91,1273090000000.00
Lake Scottton,1/11/2019,31.31,9305780000000.00
Rodneyfort,3/24/2019,31.41,827420000000.00
Pattyland,4/25/2019,44.39,1723700000000.00
Jerryton,2/28/2019,36.87,3091060000000.00
Lake Scottton,4/11/2019,22.03,2026820000000.00
Grahamburgh,4/29/2019,13.59,3200700000000.00
South Latoya,3/29/2019,5.93,2624300000000.00
Liumouth,3/27/2019,44.27,981646000000.00
Hurleymouth,3/2/2019,34.65,9380450000000.00
West Angela,2/15/2019,44.12,1962120000000.00
Reynoldsfurt,3/14/2019,35.65,9907090000000.00
Port Johnbury,3/29/2019,14.54,3761240000000.00
North Jason,2/15/2019,17.35,6041760000000.00
North Madeline,4/15/2019,37.6,3895260000000.00
Simpsonburgh,2/15/2019,4.63,60590634054.00
Hurleymouth,2/13/2019,25.72,8761490000000.00
West Robert,3/7/2019,4.28,2030780000000.00
North Jasmine,4/1/2019,28.04,5012380000000.00
North Jason,4/5/2019,32.18,3373550000000.00
South Jack,2/1/2019,26.72,5062170000000.00
West Heidi,2/9/2019,39.76,5522900000000.00
West Anthony,4/6/2019,14.3,7571960000000.00
West Ericstad,3/21/2019,18.24,4602950000000.00
West Samuelburgh,2/27/2019,32.73,5615980000000.00
New Jacobville,4/9/2019,4.95,4493740000000.00
Carriemouth,2/21/2019,23.48,4757310000000.00
Christopherfurt,3/18/2019,7.45,4451220000000.00
South Phillip,1/16/2019,7.08,8455680000000.00
Grahamburgh,1/28/2019,44.91,258537000000.00
Christopherfurt,3/25/2019,23.38,499819000000.00
Robertport,4/27/2019,41.48,6464590000000.00
Justinberg,4/26/2019,7.68,1068650000000.00
Port Frank,4/5/2019,36.08,345798000000.00
New Jacobville,4/13/2019,43.98,9448600000000.00
North Jasmine,2/1/2019,8.09,415938000000.00
Valentineton,3/18/2019,36.04,8732230000000.00
Huntermouth,1/6/2019,28.74,654210000000.00
South Jack,3/8/2019,17.17,8790960000000.00
New Paulton,3/15/2019,4.6,9741460000000.00
Williamsstad,4/21/2019,26.99,8562560000000.00
Jerryton,1/6/2019,27.71,9044740000000.00
Deanville,1/4/2019,4.56,6423110000000.00
South Evanton,3/22/2019,6.58,8377190000000.00
New Kimberlyborough,4/29/2019,9.08,3171920000000.00
Hurleymouth,3/24/2019,8.77,8274790000000.00
North Barbara,4/1/2019,31.72,9786160000000.00
West Angela,2/22/2019,19.44,3794960000000.00
Karenside,3/15/2019,31.89,5438260000000.00
South Phillip,5/1/2019,38.46,3438540000000.00
South Karenland,5/8/2019,19.77,7837160000000.00
Royland,2/21/2019,5.95,8419470000000.00
South Phillip,1/20/2019,24,7335380000000.00
South Phillip,5/2/2019,24.23,122973000000.00
West Gabriel,3/9/2019,14.41,8736180000000.00
South Karenland,1/14/2019,24.71,8612310000000.00
Robertport,4/27/2019,11.42,9229560000000.00
Roberthaven,2/12/2019,37,4695880000000.00
West Christopherberg,1/11/2019,44.76,2736820000000.00
Robertport,3/21/2019,8.2,3399770000000.00
West Anthony,2/7/2019,33.51,4163120000000.00
New Kimberlyborough,2/9/2019,6.43,6447150000000.00
Loganberg,2/2/2019,7.12,1273500000000.00
West Samuelburgh,1/11/2019,25.07,150842000000.00
New Kimberlyborough,4/24/2019,28.87,7937080000000.00
Roberthaven,4/25/2019,22.75,7370170000000.00
Barajasview,4/3/2019,44.15,9596160000000.00
Royland,2/22/2019,10.19,8898720000000.00
Rogerston,3/14/2019,10.29,7434760000000.00
Christopherfurt,2/12/2019,11.7,8493510000000.00
West Gabriel,2/20/2019,8.44,6912410000000.00
South Karenland,4/18/2019,8.56,7557920000000.00
Williamsview,4/26/2019,20.89,2565030000000.00
Deanville,3/5/2019,42.79,3624950000000.00
West Samuelburgh,1/16/2019,14.93,501861000000.00
North Barbara,2/14/2019,4.11,7676960000000.00
Christopherfurt,3/10/2019,22.65,5004640000000.00
Jerryton,2/1/2019,37.7,9580450000000.00
South Latoya,2/9/2019,12.17,9006320000000.00
South Latoya,3/4/2019,5.04,9877400000000.00
West Gabriel,3/17/2019,15.95,9297070000000.00
Lake Jonathanshire,1/23/2019,21.11,7711470000000.00
North Jasmine,2/10/2019,31.38,4746800000000.00
Raymondhaven,4/15/2019,6.74,6814070000000.00
Port Johnbury,3/25/2019,41.61,8060550000000.00
North Barbara,1/17/2019,18.27,378378000000.00
New Kimberlyborough,1/27/2019,23.09,5575540000000.00
Carriemouth,2/26/2019,19.05,1954600000000.00
West Samuelburgh,2/5/2019,31.94,6733380000000.00
Martinezhaven,2/17/2019,34.27,234041000000.00
North Barbara,4/30/2019,28.89,3280920000000.00
Valentineton,2/8/2019,36.23,6667400000000.00
West Robert,2/9/2019,26.1,18586563147.00
Roberthaven,4/7/2019,13.4,4901740000000.00
West Gabriel,4/20/2019,23.69,4906120000000.00
Karenberg,2/18/2019,44.08,7216870000000.00
Rogerston,3/8/2019,17.81,8564690000000.00
West Angela,1/12/2019,20.46,5241310000000.00
New Kimberlyborough,4/1/2019,10.76,9128310000000.00
Justinberg,2/20/2019,31.31,9201630000000.00
South Michelleport,1/2/2019,37.34,7660980000000.00
South Evanton,1/11/2019,39.99,9389410000000.00
Johnton,4/11/2019,33.12,7226100000000.00
Grahamburgh,4/3/2019,5.09,8563290000000.00
Rogerston,2/16/2019,20.64,8147120000000.00
South Karenland,4/21/2019,7.44,3546760000000.00
North Barbara,3/8/2019,29.15,96327208793.00
Jerryton,3/20/2019,15.37,931768000000.00
West Christopherberg,4/25/2019,35.39,7477240000000.00
South Jack,2/13/2019,32.64,880719000000.00
Port Samanthamouth,1/28/2019,15.49,3267080000000.00
New Paulton,3/29/2019,43.79,7069180000000.00
Carriemouth,4/18/2019,37.63,7736870000000.00
North Jasmine,2/27/2019,35.31,9250350000000.00
Rogerston,1/16/2019,31.34,132229000000.00
Port David,2/3/2019,21.2,571426000000.00
Williamsview,4/11/2019,33.68,2743580000000.00
South Evanton,4/26/2019,42.99,4021950000000.00
South Evanton,3/25/2019,23.48,4595710000000.00
Port David,4/7/2019,39.51,5955260000000.00
West Christopherberg,2/8/2019,14.22,3725590000000.00
New Paulton,3/19/2019,40.2,8200670000000.00
Leahton,2/4/2019,15.37,9588330000000.00
Valentineton,4/28/2019,5.73,211077000000.00
Port David,3/14/2019,9.22,3636090000000.00
West Robert,2/12/2019,14.8,8061830000000.00
Valentineton,1/2/2019,34.79,6364350000000.00
Port Johnbury,2/20/2019,27.1,3559370000000.00
